TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
75999,False,0.845623,6.9e-05,0.0,0.0
75999,True,1.075334,1.110982,1.149106,1.140091
76999,False,1.200168,6.9e-05,0.0,0.0
76999,True,1.075334,1.111119,1.1489,1.14016
77999,False,1.418662,6.9e-05,0.0,0.0
77999,True,1.075266,1.11105,1.148831,1.140091
78999,False,1.7143,6.9e-05,0.0,0.0
78999,True,1.075334,1.110982,1.148693,1.14016
79999,False,1.973327,6.9e-05,0.0,0.0
79999,True,1.075472,1.11105,1.148693,1.139816
80999,False,2.305851,6.9e-05,0.0,0.0
80999,True,1.075197,1.110844,1.149037,1.139885
81999,False,2.53687,6.9e-05,0.0,0.0
81999,True,1.075266,1.110913,1.148831,1.139885
82999,False,2.819088,6.9e-05,0.0,0.0
82999,True,1.075266,1.110982,1.148762,1.139816
83999,False,3.100619,6.9e-05,0.0,0.0
83999,True,1.075334,1.110913,1.149037,1.139816
84999,False,0.0,6.9e-05,0.0,0.0
84999,True,1.075334,1.11105,1.148762,1.140022
85999,False,0.284834,6.9e-05,0.0,0.0
85999,True,1.075266,1.110913,1.149037,1.139885
86999,False,0.744806,6.9e-05,0.0,0.0
86999,True,1.075472,1.110913,1.1489,1.13961
87999,False,0.845623,6.9e-05,0.0,0.0
87999,True,1.075334,1.110982,1.148762,1.139747
88999,False,1.200513,6.9e-05,0.0,0.0
88999,True,1.075128,1.11105,1.148969,1.139541
89999,False,1.418731,6.9e-05,0.0,0.0
89999,True,1.075197,1.110982,1.148762,1.139747
90999,False,1.7143,6.9e-05,0.0,0.0
90999,True,1.075128,1.110844,1.148969,1.140022
91999,False,1.973327,6.9e-05,0.0,0.0
91999,True,1.075128,1.110775,1.1489,1.140022
92999,False,2.305851,6.9e-05,0.0,0.0
92999,True,1.075128,1.110706,1.1489,1.139885
93999,False,2.53687,6.9e-05,0.0,0.0
93999,True,1.075197,1.110844,1.1489,1.139954
94999,False,2.819088,6.9e-05,0.0,0.0
94999,True,1.075197,1.110844,1.148762,1.139954
95999,False,3.100619,6.9e-05,0.0,0.0
95999,True,1.075197,1.110844,1.148762,1.140091
96999,False,0.0,6.9e-05,0.0,0.0
96999,True,1.075059,1.110844,1.1489,1.139954
97999,False,0.284834,6.9e-05,0.0,0.0
97999,True,1.07499,1.110913,1.148762,1.139885
98999,False,0.744806,6.9e-05,0.0,0.0
98999,True,1.074784,1.110775,1.1489,1.140022
99999,False,0.845623,6.9e-05,0.0,0.0
99999,True,1.07499,1.110913,1.148831,1.139885
100999,False,1.200375,6.9e-05,0.0,0.0
100999,True,1.075197,1.110982,1.148762,1.139816
101999,False,1.418731,6.9e-05,0.0,0.0
101999,True,1.075059,1.110775,1.148625,1.139885
102999,False,1.714231,6.9e-05,0.0,0.0
102999,True,1.075197,1.110775,1.1489,1.139885
103999,False,1.973327,6.9e-05,0.0,0.0
103999,True,1.07499,1.110982,1.148762,1.139885
104999,False,2.305989,6.9e-05,0.0,0.0
104999,True,1.075128,1.110913,1.1489,1.139816
105999,False,2.53687,6.9e-05,0.0,0.0
105999,True,1.074922,1.110982,1.148831,1.139885
106999,False,2.819088,6.9e-05,0.0,0.0
