Time,PinPullerTemp,Spare,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
11999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
12999,-273.0000E+0,-273.0000E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
13999,-273.0000E+0,-262.5398E+0,-273.0000E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
14999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
15999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
16999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
17999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
18999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
19999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
20999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
21999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
22999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
23999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
24999,-273.0000E+0,-262.5398E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
25999,-273.0000E+0,-267.7149E+0,16.2516E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
26999,-273.0000E+0,-267.7149E+0,16.3617E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
27999,-273.0000E+0,-267.7149E+0,16.3617E+0,-273.0000E+0,1.1737E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
28999,-273.0000E+0,-267.7149E+0,16.3617E+0,-273.0000E+0,1.1638E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
29999,-273.0000E+0,-267.7149E+0,16.3617E+0,-273.0000E+0,1.1638E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
30999,-273.0000E+0,-267.7149E+0,16.3617E+0,-273.0000E+0,1.1638E+0,148.6447E-3,369.9602E-3,3.3032E-3,812.5911E-3,0.0000E+0,5.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,0.0000E+0,1.6791E+0,1,0,0
