Timestamp,Channel1,Channel2,Channel3,Channel4
99999,1.0756E+0,1.1116E+0,1.1495E+0,1.1405E+0,
100999,1.0758E+0,1.1116E+0,1.1494E+0,1.1405E+0,
101999,1.0757E+0,1.1114E+0,1.1493E+0,1.1405E+0,
102999,1.0758E+0,1.1114E+0,1.1496E+0,1.1405E+0,
103999,1.0756E+0,1.1116E+0,1.1494E+0,1.1405E+0,
104999,1.0757E+0,1.1116E+0,1.1496E+0,1.1405E+0,
105999,1.0755E+0,1.1116E+0,1.1495E+0,1.1405E+0,
106999,1.0754E+0,1.1114E+0,1.1496E+0,1.1405E+0,
107999,1.0755E+0,1.1115E+0,1.1494E+0,1.1405E+0,
108999,1.0756E+0,1.1113E+0,1.1492E+0,1.1406E+0,
109999,1.0755E+0,1.1114E+0,1.1491E+0,1.1403E+0,
110999,1.0755E+0,1.1113E+0,1.1492E+0,1.1405E+0,
111999,1.0753E+0,1.1113E+0,1.1492E+0,1.1407E+0,
112999,1.0755E+0,1.1114E+0,1.1494E+0,1.1404E+0,
113999,1.0758E+0,1.1114E+0,1.1494E+0,1.1403E+0,
114999,1.0753E+0,1.1115E+0,1.1490E+0,1.1405E+0,
115999,1.0755E+0,1.1113E+0,1.1495E+0,1.1405E+0,
116999,1.0754E+0,1.1113E+0,1.1494E+0,1.1404E+0,
117999,1.0756E+0,1.1112E+0,1.1494E+0,1.1405E+0,
118999,1.0755E+0,1.1112E+0,1.1494E+0,1.1403E+0,
119999,1.0755E+0,1.1113E+0,1.1493E+0,1.1405E+0,
120999,1.0755E+0,1.1114E+0,1.1494E+0,1.1406E+0,
121999,1.0754E+0,1.1116E+0,1.1492E+0,1.1404E+0,
122999,1.0756E+0,1.1113E+0,1.1492E+0,1.1405E+0,
123999,1.0754E+0,1.1113E+0,1.1492E+0,1.1404E+0,
124999,1.0756E+0,1.1113E+0,1.1493E+0,1.1406E+0,
125999,1.0755E+0,1.1112E+0,1.1492E+0,1.1405E+0,
126999,1.0755E+0,1.1111E+0,1.1493E+0,1.1405E+0,
127999,1.0755E+0,1.1111E+0,1.1493E+0,1.1405E+0,
128999,1.0754E+0,1.1113E+0,1.1493E+0,1.1404E+0,
129999,1.0752E+0,1.1113E+0,1.1494E+0,1.1404E+0,
130999,1.0756E+0,1.1113E+0,1.1492E+0,1.1405E+0,
131999,1.0755E+0,1.1113E+0,1.1491E+0,1.1403E+0,
132999,1.0755E+0,1.1112E+0,1.1492E+0,1.1400E+0,
133999,1.0753E+0,1.1113E+0,1.1492E+0,1.1401E+0,
134999,1.0755E+0,1.1111E+0,1.1491E+0,1.1403E+0,
135999,1.0753E+0,1.1111E+0,1.1491E+0,1.1403E+0,
136999,1.0757E+0,1.1112E+0,1.1492E+0,1.1403E+0,
137999,1.0755E+0,1.1111E+0,1.1492E+0,1.1401E+0,
138999,1.0754E+0,1.1113E+0,1.1492E+0,1.1402E+0,
139999,1.0755E+0,1.1113E+0,1.1492E+0,1.1404E+0,
140999,1.0754E+0,1.1113E+0,1.1492E+0,1.1404E+0,
141999,1.0753E+0,1.1113E+0,1.1492E+0,1.1403E+0,
142999,1.0753E+0,1.1111E+0,1.1492E+0,1.1405E+0,
143999,1.0754E+0,1.1111E+0,1.1492E+0,1.1403E+0,
144999,1.0753E+0,1.1109E+0,1.1493E+0,1.1403E+0,
145999,1.0753E+0,1.1111E+0,1.1492E+0,1.1403E+0,
146999,1.0754E+0,1.1112E+0,1.1492E+0,1.1401E+0,
147999,1.0755E+0,1.1112E+0,1.1492E+0,1.1402E+0,
148999,1.0753E+0,1.1110E+0,1.1492E+0,1.1401E+0,
149999,1.0755E+0,1.1110E+0,1.1487E+0,1.1401E+0,
150999,1.0753E+0,1.1109E+0,1.1492E+0,1.1401E+0,
151999,1.0754E+0,1.1111E+0,1.1490E+0,1.1399E+0,
152999,1.0754E+0,1.1111E+0,1.1491E+0,1.1401E+0,
153999,1.0753E+0,1.1109E+0,1.1489E+0,1.1401E+0,
154999,1.0754E+0,1.1110E+0,1.1491E+0,1.1401E+0,
155999,1.0754E+0,1.1111E+0,1.1490E+0,1.1402E+0,
156999,1.0751E+0,1.1109E+0,1.1493E+0,1.1400E+0,
157999,1.0753E+0,1.1112E+0,1.1488E+0,1.1405E+0,
158999,1.0754E+0,1.1111E+0,1.1490E+0,1.1403E+0,
159999,1.0754E+0,1.1111E+0,1.1492E+0,1.1403E+0,
160999,1.0755E+0,1.1110E+0,1.1490E+0,1.1402E+0,
161999,1.0753E+0,1.1110E+0,1.1492E+0,1.1402E+0,
162999,1.0754E+0,1.1110E+0,1.1491E+0,1.1399E+0,
163999,1.0755E+0,1.1109E+0,1.1492E+0,1.1401E+0,
164999,1.0753E+0,1.1112E+0,1.1490E+0,1.1400E+0,
165999,1.0751E+0,1.1111E+0,1.1489E+0,1.1399E+0,
166999,1.0754E+0,1.1111E+0,1.1491E+0,1.1399E+0,
167394,1.0754E+0,1.1112E+0,1.1488E+0,1.1401E+0,
167431,1.6691E+0,1.1624E+0,1.2440E+0,1.2414E+0,
167470,1.0753E+0,1.1108E+0,1.1488E+0,1.1400E+0,
167999,1.0753E+0,1.1111E+0,1.1488E+0,1.1401E+0,
168999,1.0753E+0,1.1111E+0,1.1490E+0,1.1401E+0,
169999,1.0753E+0,1.1109E+0,1.1492E+0,1.1401E+0,
170999,1.0754E+0,1.1112E+0,1.1489E+0,1.1399E+0,
171173,1.0754E+0,1.1110E+0,1.1491E+0,1.1400E+0,
171654,1.0753E+0,1.1110E+0,1.1492E+0,1.1401E+0,
171999,1.0753E+0,1.1111E+0,1.1492E+0,1.1403E+0,
172999,1.0753E+0,1.1111E+0,1.1489E+0,1.1401E+0,
173999,1.0753E+0,1.1110E+0,1.1489E+0,1.1401E+0,
174999,1.0752E+0,1.1109E+0,1.1489E+0,1.1400E+0,
175999,1.0754E+0,1.1109E+0,1.1490E+0,1.1401E+0,
176295,1.0752E+0,1.1109E+0,1.1491E+0,1.1403E+0,
176999,1.0753E+0,1.1112E+0,1.1493E+0,1.1402E+0,
177999,1.0752E+0,1.1110E+0,1.1488E+0,1.1403E+0,
178999,1.0752E+0,1.1108E+0,1.1489E+0,1.1403E+0,
179999,1.0753E+0,1.1110E+0,1.1490E+0,1.1402E+0,
180999,1.0751E+0,1.1110E+0,1.1491E+0,1.1400E+0,
181731,1.0753E+0,1.1107E+0,1.1488E+0,1.1402E+0,
181999,1.0750E+0,1.1110E+0,1.1489E+0,1.1401E+0,
182315,1.0753E+0,1.1108E+0,1.1489E+0,1.1401E+0,
