Timestamp,Channel1,Channel2,Channel3,Channel4
174321006,1.0505E+0,1.0857E+0,1.1207E+0,1.1125E+0,
174321020,3.5313E+0,3.5247E+0,3.4409E+0,3.4140E+0,
174321029,1.6143E+0,1.6297E+0,1.1277E+0,1.1111E+0,
174321057,1.0493E+0,1.0845E+0,1.1197E+0,1.1108E+0,
174321057,3.4883E+0,3.5228E+0,3.4336E+0,3.4081E+0,
174321058,2.1935E+0,2.1174E+0,1.9596E+0,1.9832E+0,
174321128,1.4269E+0,1.0846E+0,1.1200E+0,1.1110E+0,
174321159,1.1908E+0,1.0854E+0,1.1217E+0,1.1181E+0,
174321202,2.1827E+0,2.1715E+0,2.0501E+0,2.0072E+0,
174321268,2.2323E+0,2.1773E+0,1.9045E+0,1.9134E+0,
174321297,3.5311E+0,3.5090E+0,3.2456E+0,3.4142E+0,
174321317,2.4983E+0,2.5719E+0,2.4636E+0,2.3771E+0,
174321369,2.9025E+0,2.7201E+0,2.9206E+0,3.0124E+0,
174321373,1.0491E+0,1.0846E+0,1.1199E+0,1.1110E+0,
174321381,1.0514E+0,1.0846E+0,1.1197E+0,1.1112E+0,
174321402,2.0909E+0,2.0480E+0,1.5946E+0,1.5363E+0,
174321447,2.9693E+0,2.6924E+0,2.4490E+0,2.6356E+0,
174321538,2.6016E+0,2.4389E+0,2.3448E+0,2.4672E+0,
174321541,1.6767E+0,1.4456E+0,1.1202E+0,1.1114E+0,
174321554,1.7625E+0,1.4929E+0,1.1414E+0,1.2087E+0,
174321560,2.4832E+0,2.5023E+0,2.3813E+0,2.3345E+0,
174321570,2.7379E+0,2.5726E+0,2.2989E+0,2.4205E+0,
174321570,3.5220E+0,3.5020E+0,3.4285E+0,3.3998E+0,
174321590,2.8237E+0,2.6089E+0,2.4921E+0,2.6863E+0,
174321592,2.4384E+0,2.3844E+0,2.3524E+0,2.3668E+0,
174321610,2.1140E+0,2.0205E+0,1.9689E+0,2.0117E+0,
174321613,3.5302E+0,3.5226E+0,3.4417E+0,3.4108E+0,
174321659,2.3286E+0,2.1806E+0,2.1019E+0,2.2036E+0,
174321703,2.6853E+0,2.7285E+0,2.4340E+0,2.3523E+0,
174321748,2.4655E+0,2.4428E+0,2.3820E+0,2.3782E+0,
174321762,3.1340E+0,3.1550E+0,3.2584E+0,3.2920E+0,
174321783,2.1022E+0,2.0319E+0,1.9414E+0,1.9597E+0,
174321888,3.2754E+0,3.0666E+0,3.4307E+0,3.4105E+0,
174321895,2.3844E+0,2.4245E+0,2.3488E+0,2.2750E+0,
174321940,1.0494E+0,1.0846E+0,1.1198E+0,1.1112E+0,
174321940,1.1286E+0,1.6004E+0,1.1301E+0,1.1086E+0,
174321972,2.0661E+0,2.0636E+0,2.1264E+0,2.0585E+0,
174321999,1.0493E+0,1.0846E+0,1.1197E+0,1.1111E+0,
174322032,1.0782E+0,1.0844E+0,1.1200E+0,1.1111E+0,
174322079,2.0641E+0,1.9831E+0,1.2701E+0,1.3382E+0,
174322118,2.2215E+0,2.1922E+0,2.1064E+0,2.0811E+0,
174322118,2.8030E+0,2.5198E+0,2.8242E+0,2.9049E+0,
174322250,1.0494E+0,1.0846E+0,1.1200E+0,1.1111E+0,
174322287,2.2325E+0,2.2208E+0,2.0509E+0,2.0007E+0,
174322323,3.5302E+0,3.2075E+0,3.0392E+0,3.3763E+0,
174322339,1.0496E+0,1.0845E+0,1.1196E+0,1.1111E+0,
174322384,1.0492E+0,1.0845E+0,1.1199E+0,1.1112E+0,
174322386,1.0702E+0,1.0842E+0,1.1201E+0,1.1109E+0,
174322391,2.6701E+0,2.6004E+0,2.6738E+0,2.7201E+0,
174322436,2.4625E+0,2.5354E+0,2.4666E+0,2.3734E+0,
174322452,2.5318E+0,2.4967E+0,2.2895E+0,2.2917E+0,
174322463,2.0610E+0,1.8838E+0,1.2493E+0,1.5524E+0,
174322502,1.0500E+0,1.0846E+0,1.1198E+0,1.1111E+0,
174322540,3.5338E+0,3.5280E+0,3.4492E+0,3.4144E+0,
174322585,2.7839E+0,2.8161E+0,2.6091E+0,2.5737E+0,
174322594,1.9130E+0,1.3755E+0,1.1210E+0,1.5098E+0,
174322600,1.0492E+0,1.0842E+0,1.1198E+0,1.1111E+0,
174322605,2.0945E+0,1.9303E+0,1.2071E+0,1.5235E+0,
174322609,2.3856E+0,2.2913E+0,2.3523E+0,2.3860E+0,
174322651,2.4767E+0,2.3802E+0,2.2007E+0,2.2580E+0,
174322652,1.0552E+0,1.2303E+0,1.2401E+0,1.2453E+0,
174322695,2.2110E+0,2.0465E+0,1.5549E+0,1.8549E+0,
174322707,2.7314E+0,2.6298E+0,2.5120E+0,2.5958E+0,
174322733,1.5989E+0,1.0910E+0,1.1200E+0,1.1122E+0,
174322750,2.7881E+0,2.7587E+0,2.6318E+0,2.6617E+0,
174322755,1.8976E+0,1.6402E+0,1.1577E+0,1.3306E+0,
174322761,2.5224E+0,2.2993E+0,2.1116E+0,2.2579E+0,
174322769,2.5270E+0,2.4851E+0,2.5215E+0,2.5312E+0,
174322782,2.5177E+0,2.5054E+0,2.2398E+0,2.2151E+0,
174322791,2.3635E+0,2.2798E+0,2.0331E+0,2.0904E+0,
174322793,3.5335E+0,3.5257E+0,3.4426E+0,3.4157E+0,
174322861,1.0492E+0,1.0844E+0,1.1198E+0,1.1112E+0,
174322938,1.7945E+0,1.5701E+0,1.3043E+0,1.4559E+0,
174322965,3.0665E+0,3.1417E+0,2.9834E+0,2.9472E+0,
174322971,1.0493E+0,1.0844E+0,1.1197E+0,1.1112E+0,
174322984,3.0468E+0,2.7897E+0,2.9750E+0,3.1030E+0,
174322999,1.0492E+0,1.0845E+0,1.1195E+0,1.1113E+0,
174323063,1.0494E+0,1.0844E+0,1.1197E+0,1.1111E+0,
174323111,2.8234E+0,2.8695E+0,2.9065E+0,2.8826E+0,
174323132,3.0381E+0,3.2138E+0,3.1479E+0,3.0229E+0,
174323181,3.3194E+0,3.3741E+0,3.4015E+0,3.4053E+0,
174323216,2.1378E+0,2.1762E+0,2.2438E+0,2.0699E+0,
174323257,2.5197E+0,2.6600E+0,2.6490E+0,2.4915E+0,
174323299,2.9129E+0,3.0278E+0,2.8020E+0,2.6961E+0,
174323306,1.8879E+0,1.9721E+0,1.8200E+0,1.5120E+0,
174323308,1.0532E+0,1.0910E+0,1.1260E+0,1.1170E+0,
174323310,2.9850E+0,2.9796E+0,3.0812E+0,3.1145E+0,
174323317,3.3559E+0,3.2593E+0,2.8732E+0,3.0138E+0,
174323331,2.1768E+0,2.1183E+0,1.7851E+0,1.7844E+0,
174323353,2.4581E+0,2.3290E+0,2.4570E+0,2.5082E+0,
174323364,1.4216E+0,1.0849E+0,1.1197E+0,1.1114E+0,
174323394,1.6517E+0,1.2049E+0,1.1202E+0,1.1241E+0,
174323402,2.2292E+0,2.1796E+0,2.1170E+0,2.1208E+0,
174323430,1.9637E+0,1.5091E+0,1.2889E+0,1.7360E+0,
174323472,1.6904E+0,1.4523E+0,1.5028E+0,1.6020E+0,
174323473,2.3939E+0,2.4045E+0,2.5153E+0,2.6893E+0,
174323473,1.0488E+0,1.1361E+0,1.1489E+0,1.1469E+0,
174323571,1.2996E+0,1.1849E+0,1.1204E+0,1.1124E+0,
174323579,3.5329E+0,3.5292E+0,3.4481E+0,3.4185E+0,
174323654,3.0111E+0,2.9945E+0,2.8494E+0,2.8914E+0,
174323665,2.5993E+0,2.6960E+0,2.4679E+0,2.3329E+0,
174323666,2.6982E+0,2.4584E+0,2.3745E+0,2.5380E+0,
174323715,2.6662E+0,2.6208E+0,2.4421E+0,2.4633E+0,
174323722,2.5714E+0,2.3515E+0,2.2518E+0,2.4054E+0,
174323727,2.5757E+0,2.5915E+0,2.3376E+0,2.2523E+0,
174323750,1.2584E+0,1.1169E+0,1.1645E+0,1.1609E+0,
174323882,3.4928E+0,3.2233E+0,2.9047E+0,3.1550E+0,
174323889,1.7261E+0,1.4077E+0,1.4055E+0,1.5305E+0,
174323907,2.9561E+0,3.0495E+0,2.8011E+0,2.7234E+0,
174323920,2.1562E+0,2.0808E+0,2.1348E+0,2.1532E+0,
174323952,1.2447E+0,1.3418E+0,1.1206E+0,1.1113E+0,
174323979,1.0493E+0,1.0845E+0,1.1199E+0,1.1112E+0,
174323999,1.0494E+0,1.0844E+0,1.1197E+0,1.1111E+0,
174324003,1.0493E+0,1.0843E+0,1.1197E+0,1.1111E+0,
174324018,2.5465E+0,2.5663E+0,2.3152E+0,2.2389E+0,
174324054,2.0435E+0,2.0863E+0,1.9106E+0,1.7005E+0,
174324100,2.5306E+0,2.3450E+0,2.2628E+0,2.3930E+0,
