TimeStamp,Channel1,Channel2,Channel3,Channel4
218788333.000,7077.000,29335.000,28324.000,13224.000
218788333.000,15560.000,40904.000,18627.000,49602.000
218788333.000,19307.000,12373.000,9279.000,35135.000
218788333.000,28581.000,44960.000,22164.000,45466.000
218788333.000,31357.000,50299.000,44915.000,22386.000
218788333.000,33954.000,61588.000,57759.000,33701.000
218788333.000,34247.000,26566.000,53683.000,18872.000
218788333.000,41927.000,35259.000,51112.000,64180.000
218788333.000,43909.000,17530.000,32376.000,32640.000
218788333.000,45173.000,23155.000,42346.000,35431.000
218788333.000,49005.000,47439.000,40000.000,19802.000
218788333.000,53669.000,12455.000,2454.000,31636.000
218788333.000,59707.000,34877.000,33599.000,34623.000
218788334.000,14004.000,26533.000,40348.000,46506.000
218788334.000,17211.000,34109.000,33599.000,33855.000
218788334.000,28346.000,51399.000,41667.000,31681.000
218788334.000,33701.000,14506.000,36505.000,51092.000
218788334.000,37244.000,61306.000,13686.000,29302.000
218788334.000,37576.000,17095.000,53955.000,19393.000
218788334.000,39800.000,29037.000,5725.000,1387.000
218788334.000,47775.000,13463.000,45191.000,53645.000
218788335.000,4173.000,8253.000,33855.000,34879.000
218788335.000,6276.000,26241.000,14467.000,31107.000
218788335.000,7880.000,22472.000,6339.000,22977.000
218788335.000,8825.000,31095.000,48245.000,9588.000
218788335.000,14707.000,52331.000,41325.000,45937.000
218788335.000,16744.000,60512.000,60001.000,10339.000
218788335.000,46488.000,52885.000,12952.000,59291.000
218788335.000,48443.000,34877.000,33855.000,34367.000
218788335.000,52341.000,48742.000,48715.000,56420.000
218788336.000,13000.000,30920.000,5310.000,10945.000
218788336.000,23178.000,34958.000,31887.000,64138.000
218788336.000,36709.000,27230.000,59740.000,345.000
218788336.000,44154.000,63097.000,12152.000,13687.000
218788336.000,51871.000,42396.000,48288.000,15779.000
218788336.000,57714.000,13678.000,55396.000,61283.000
218788336.000,59998.000,3410.000,63551.000,36415.000
218788336.000,59988.000,64597.000,28227.000,3648.000
218788337.000,5003.000,60296.000,41344.000,37249.000
218788337.000,10081.000,43602.000,55628.000,57684.000
218788337.000,13000.000,30664.000,3523.000,33217.000
218788337.000,38293.000,29336.000,32655.000,33676.000
218788337.000,41787.000,35645.000,34111.000,35135.000
218788337.000,49016.000,9835.000,47206.000,45680.000
218788337.000,56193.000,54646.000,17518.000,61304.000
218788337.000,57403.000,34109.000,33599.000,33855.000
218788338.000,23133.000,31549.000,38207.000,34879.000
218788338.000,23357.000,44349.000,19775.000,61246.000
218788338.000,27966.000,44605.000,34111.000,34111.000
218788338.000,29534.000,21053.000,50239.000,34880.000
218788338.000,33193.000,63133.000,43153.000,56734.000
218788338.000,38512.000,51816.000,62810.000,14176.000
218788338.000,48699.000,34877.000,33855.000,33855.000
218788338.000,50819.000,64638.000,57215.000,12929.000
218788338.000,56264.000,38344.000,19651.000,42177.000
218788338.000,56438.000,51820.000,56180.000,7542.000
218788338.000,63895.000,3733.000,24729.000,58778.000
218788338.000,64895.000,9079.000,10106.000,57726.000
218788339.000,1165.000,8079.000,15752.000,48260.000
218788339.000,4747.000,48784.000,56203.000,51589.000
218788339.000,8613.000,40875.000,62903.000,10920.000
218788339.000,10184.000,19911.000,60355.000,11713.000
218788339.000,21415.000,38564.000,62120.000,52908.000
218788339.000,29095.000,42914.000,44442.000,38560.000
218788339.000,33140.000,37485.000,3694.000,36466.000
218788339.000,38459.000,34109.000,34367.000,34111.000
218788339.000,39739.000,34109.000,34111.000,34111.000
218788339.000,46228.000,12426.000,1148.000,43907.000
218788339.000,48701.000,11837.000,35903.000,36159.000
218788339.000,54843.000,34621.000,34623.000,35391.000
218788340.000,11208.000,33480.000,3338.000,50043.000
218788340.000,21124.000,7294.000,51312.000,26484.000
218788340.000,29555.000,2926.000,54857.000,22857.000
218788340.000,43857.000,18502.000,31551.000,34623.000
218788340.000,44409.000,46701.000,13411.000,59504.000
218788340.000,44603.000,43582.000,30784.000,28223.000
218788340.000,48328.000,24264.000,1987.000,22721.000
218788341.000,2436.000,17788.000,56171.000,43891.000
218788341.000,8827.000,18809.000,40061.000,49020.000
218788341.000,9329.000,48230.000,3391.000,58434.000
218788341.000,13192.000,43147.000,38529.000,33402.000
218788341.000,15242.000,49030.000,15241.000,40843.000
218788341.000,21370.000,32381.000,31613.000,51062.000
218788341.000,22109.000,55373.000,10815.000,38463.000
218788341.000,30093.000,35217.000,57994.000,33157.000
218788341.000,41653.000,34485.000,11691.000,18094.000
218788341.000,42892.000,59520.000,60283.000,44675.000
218788341.000,52168.000,26312.000,6083.000,24513.000
218788342.000,3528.000,10183.000,42179.000,11969.000
218788342.000,9869.000,18317.000,53632.000,21884.000
218788342.000,13705.000,12672.000,43640.000,39550.000
218788342.000,18781.000,6973.000,41279.000,35654.000
218788342.000,24899.000,56894.000,57663.000,34111.000
218788342.000,32571.000,33853.000,33855.000,34111.000
218788342.000,39789.000,28770.000,29759.000,35391.000
218788342.000,42119.000,53124.000,12671.000,41600.000
218788342.000,50091.000,6064.000,25252.000,64416.000
218788343.000,387.000,5242.000,15228.000,29056.000
218788343.000,13749.000,9659.000,1727.000,23995.000
218788343.000,22601.000,52543.000,59199.000,34367.000
218788343.000,24693.000,14955.000,64622.000,18290.000
218788343.000,27963.000,34109.000,33343.000,33855.000
218788343.000,32353.000,56161.000,40033.000,62041.000
218788343.000,53879.000,52089.000,14717.000,11891.000
218788343.000,55967.000,16542.000,57483.000,17802.000
218788343.000,57190.000,15448.000,57933.000,21333.000
218788343.000,58056.000,43720.000,14275.000,25537.000
218788343.000,64626.000,13681.000,64097.000,27991.000
218788344.000,4535.000,32680.000,26270.000,45741.000
218788344.000,12964.000,65433.000,63115.000,5781.000
218788344.000,16187.000,35901.000,34367.000,34111.000
218788344.000,19292.000,44861.000,36671.000,34625.000
218788344.000,20647.000,2468.000,15272.000,14763.000
218788344.000,36552.000,4039.000,48579.000,22465.000
218788344.000,37435.000,34365.000,33343.000,34111.000
218788344.000,49211.000,35133.000,34623.000,34111.000
218788344.000,52097.000,13441.000,14461.000,4987.000
218788344.000,53878.000,41075.000,18030.000,879.000
218788344.000,62267.000,34109.000,34623.000,34111.000
218788344.000,64123.000,7531.000,42570.000,40804.000
218788345.000,4005.000,54180.000,26524.000,32670.000
218788345.000,30875.000,49311.000,35222.000,20114.000
218788345.000,32420.000,3498.000,24245.000,26023.000
218788345.000,34454.000,34958.000,40074.000,13967.000
218788345.000,36441.000,59453.000,44095.000,35654.000
218788345.000,43637.000,13166.000,50027.000,14958.000
218788345.000,43922.000,61844.000,51852.000,42889.000
218788345.000,45721.000,48538.000,63632.000,10638.000
218788345.000,58226.000,58729.000,5695.000,48967.000
218788345.000,61128.000,39112.000,9667.000,29633.000
218788346.000,2875.000,34365.000,33599.000,34879.000
218788346.000,5243.000,17783.000,46964.000,5748.000
218788346.000,13000.000,15047.000,54211.000,14529.000
218788346.000,14719.000,4730.000,45682.000,28788.000
218788346.000,15987.000,3428.000,25151.000,58453.000
218788346.000,18612.000,5540.000,8852.000,5024.000
218788346.000,20028.000,58173.000,35391.000,33599.000
218788346.000,25962.000,56926.000,30527.000,34879.000
218788346.000,34178.000,2166.000,20598.000,21117.000
218788346.000,42659.000,62370.000,28058.000,16540.000
218788346.000,43353.000,45117.000,44102.000,13396.000
218788346.000,45681.000,17008.000,23926.000,44654.000
218788346.000,46280.000,17607.000,62147.000,20673.000
218788346.000,47419.000,33853.000,33855.000,33855.000
218788346.000,49467.000,37437.000,33855.000,34367.000
218788347.000,1093.000,23103.000,28735.000,34111.000
218788347.000,2478.000,8868.000,21671.000,9392.000
218788347.000,9308.000,59719.000,15944.000,21586.000
218788347.000,14198.000,45670.000,31580.000,17518.000
218788347.000,17979.000,34109.000,33599.000,34111.000
218788347.000,18847.000,12947.000,57226.000,16019.000
218788347.000,19880.000,58531.000,42912.000,35494.000
218788347.000,25968.000,31087.000,65375.000,43350.000
218788347.000,31393.000,671.000,37532.000,40350.000
218788347.000,32639.000,56192.000,51067.000,38520.000
218788347.000,36416.000,17981.000,34111.000,34111.000
218788347.000,36990.000,4735.000,41338.000,44406.000
218788347.000,47163.000,34621.000,33599.000,34879.000
218788347.000,51312.000,35680.000,19007.000,40781.000
218788347.000,52867.000,36740.000,63356.000,61048.000
218788347.000,53072.000,26946.000,62788.000,2116.000
218788347.000,53307.000,57405.000,34111.000,39231.000
218788347.000,53960.000,30408.000,9923.000,31425.000
218788347.000,54131.000,45928.000,53355.000,33393.000
218788348.000,6002.000,53351.000,13150.000,50793.000
218788348.000,13483.000,7855.000,47798.000,42164.000
218788348.000,21112.000,17526.000,11383.000,1653.000
218788348.000,57147.000,33853.000,33855.000,34879.000
218788348.000,58485.000,53874.000,57685.000,25424.000
218788348.000,64827.000,34877.000,33599.000,34623.000
218788348.000,65417.000,33928.000,7290.000,5497.000
218788349.000,7301.000,29572.000,63369.000,57735.000
218788349.000,24489.000,684.000,9891.000,53665.000
218788349.000,25735.000,22406.000,37249.000,54400.000
218788349.000,31176.000,35016.000,13247.000,6838.000
218788349.000,33595.000,34621.000,33855.000,34623.000
218788349.000,34211.000,30614.000,10894.000,20890.000
218788349.000,36411.000,43581.000,34623.000,34367.000
218788349.000,41019.000,34365.000,33599.000,34111.000
