TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused,Unused,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
175276999.0,4.0,nan,nan,nan,nan,1.25399344,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175277999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175278999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175279999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,27.0,0.0,0.0
175280999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82572,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175281999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175282999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,38.0,0.0,0.0
175283999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,29.0,0.0,0.0
175284999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175285999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175286999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175287999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175288999.0,4.0,nan,nan,nan,nan,1.22426752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175289999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175290999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175291999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175292999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82792192,nan,nan,nan,nan,nan,nan,nan,44.0,0.0,0.0
175293999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175294999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,40.0,0.0,0.0
175295999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,40.0,0.0,0.0
175296999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175297999.0,1.0,nan,-268.59616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175298999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
175299999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175300999.0,4.0,nan,nan,nan,nan,1.23197424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175301999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175302999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
175303999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
175304999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82792192,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175305999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,41.0,0.0,0.0
175306999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,34.0,0.0,0.0
175307999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,36.0,0.0,0.0
175308999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175309999.0,1.0,nan,-268.59616,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175310999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175311999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175312999.0,4.0,nan,nan,nan,nan,1.23747904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175313999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175314999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,0.0,0.0
175315999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
175316999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82682096,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175317999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,34.0,0.0,0.0
175318999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,42.0,0.0,0.0
175319999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,32.0,0.0,0.0
175320999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175321999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175322999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175323999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,43.0,0.0,0.0
175324999.0,4.0,nan,nan,nan,nan,1.2330752,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175325999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175326999.0,6.0,nan,nan,nan,nan,nan,nan,0.37762928,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175327999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175328999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82792192,nan,nan,nan,nan,nan,nan,nan,42.0,0.0,0.0
175329999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,40.0,0.0,0.0
175330999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,51.0,0.0,0.0
175331999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,31.0,0.0,0.0
175332999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.0,0.0,0.0
175333999.0,1.0,nan,-268.486064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,0.0,0.0
175334999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175335999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26.0,0.0,0.0
175336999.0,4.0,nan,nan,nan,nan,1.23197424,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175337999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,45.0,0.0,0.0
175338999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175339999.0,7.0,nan,nan,nan,nan,nan,nan,nan,0.0033028800000000002,nan,nan,nan,nan,nan,nan,nan,nan,33.0,0.0,0.0
175340999.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,0.82461904,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175341999.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,36.0,0.0,0.0
175342999.0,10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,31.0,0.0,0.0
175343999.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,33.0,0.0,0.0
175344999.0,0.0,-273.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.0,0.0,0.0
175345999.0,1.0,nan,-268.375968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175346999.0,2.0,nan,nan,31.745728000000017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46.0,0.0,0.0
175347999.0,3.0,nan,nan,nan,32.95678400000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.0,0.0,0.0
175348999.0,4.0,nan,nan,nan,nan,1.23637808,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37.0,0.0,0.0
175349999.0,5.0,nan,nan,nan,nan,nan,0.00220192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,39.0,0.0,0.0
175350999.0,6.0,nan,nan,nan,nan,nan,nan,0.37652832,nan,nan,nan,nan,nan,nan,nan,nan,nan,35.0,0.0,0.0
